"title","maxNodes","timesteps","sizeSpike","sizeSmall","sizeRegular","dataSpike","dataSmall","dataRegular","deep","shallow","hasHighVariance","hasLowVariance"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.GRE.DPPG.data",115,47,"true","false","false","false","false","false","false","true","false","true"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.INT.DLXF.CD.data",122,48,"true","false","false","false","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-BX.GSR.FCTY.CD.data",185,58,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.INT.DIMF.CD.data",123,47,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.DIS.IDAG.CD.data",57,48,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-AG.LND.ARBL.HA.PC.data",208,55,"false","false","false","false","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-BX.TRF.CURR.CD.data",183,58,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DC.DAC.BELL.CD.data",124,57,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.DOD.PNGC.CD.data",78,47,"true","false","false","false","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DC.DAC.AUSL.CD.data",133,52,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-BN.FIN.TOTL.CD.data",185,58,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DC.DAC.NZLL.CD.data",94,45,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-AG.AGR.TRAC.NO.data",158,49,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.DIS.PROP.CD.data",80,48,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-BM.GSR.ROYL.CD.data",151,58,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DC.ODA.TLDC.GN.ZS.data",31,57,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-BM.GSR.NFSV.CD.data",185,58,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.DOD.PBND.CD.data",69,47,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.INT.DECT.GN.ZS.data",120,47,"true","false","false","false","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-AG.LND.CREL.HA.data",179,56,"false","false","false","false","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-CM.MKT.LCAP.CD.data",78,43,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.DIS.MIDA.CD.data",72,47,"true","false","false","false","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DC.ODA.TOTL.KD.data",31,57,"true","false","false","false","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.DOD.MLAT.ZS.data",123,47,"true","false","false","false","false","false","false","true","false","true"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-AG.LND.AGRI.ZS.data",210,55,"false","false","false","false","false","false","false","true","false","true"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DC.DAC.CHEL.CD.data",116,55,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.DOD.DECT.EX.ZS.data",115,47,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-BM.TRF.PRVT.CD.data",178,58,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DC.DAC.CANL.CD.data",146,57,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-AG.LND.ARBL.ZS.data",208,55,"false","false","false","false","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.DIS.PNGC.CD.data",70,47,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.COM.MIBR.CD.data",46,47,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-AG.YLD.CREL.KG.data",180,56,"false","false","true","false","false","false","false","true","false","true"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.DOD.RSDL.CD.data",121,47,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.INR.DPPG.data",114,47,"true","false","false","false","false","false","false","true","false","true"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.DIS.MIBR.CD.data",58,47,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-AG.LND.TOTL.K2.data",216,57,"false","true","false","false","true","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-BN.CAB.XOKA.CD.data",185,58,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.AXF.DPPG.CD.data",52,47,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.DIS.MLTC.CD.data",109,47,"true","false","false","false","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DC.DAC.AUTL.CD.data",119,56,"true","false","false","true","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.DOD.DECT.GN.ZS.data",120,47,"true","false","false","false","false","false","false","true","true","false"
"/home/eduardo/Desktop/new_datasets/converted/converted_1/wb-DT.AXA.PRVT.CD.data",83,47,"true","false","false","true","false","false","false","true","true","false"
